episodes,rewards_total
601,-163.0278832426924
602,-165.98664516576022
603,-165.30055951298746
604,-124.88990998885255
605,-165.7650513107715
606,-166.2664687556431
607,-165.83250705392106
608,-165.12016330500518
609,-166.1518546680224
610,-168.97768645778592
611,-167.9278763744492
612,-166.51336457131674
613,-168.37907713355634
614,-163.45341183107905
615,-164.13075251130186
616,-165.77934550658065
617,-165.95445794428343
618,-166.903496029863
619,-166.60692410366633
620,-166.62894839511532
621,-166.5017893301538
622,-166.96119367309967
623,-165.60100846951397
624,-166.81676582047905
625,-167.612508076977
626,-169.07501894912997
627,-166.72124936949433
628,-165.0690805023294
629,-167.9755250391401
630,-166.33928231040966
631,-167.8197460574229
632,-159.90301179758848
633,-125.06969985865486
634,-1.4092317431550967
635,-3.720395480944468
636,-159.76477994709106
637,-31.287639287431233
638,-166.83567702009356
639,-163.59459165032712
640,-163.97444665660493
641,-164.83679469859356
642,-166.1129261124272
643,-168.67938251421236
644,-164.0336545633706
645,-166.2566622522759
646,-156.80141647058298
647,-167.3703831866922
648,-162.245972464197
649,-162.3868941378289
650,-164.34534563127954
651,-166.39274826276406
652,-167.91019539246253
653,-166.73893032810275
654,-164.64522321946055
655,-162.210499991194
656,-166.441090843456
657,-157.48019058462606
658,-109.21004827760432
659,-161.8782428248811
660,-164.91916000920435
661,-166.46465537537227
662,-169.29737243325943
663,-166.007164588404
664,-162.17240670582655
665,-163.13116855897758
666,-165.26394130261005
667,-168.46126340640748
668,-163.2225348570164
669,-165.269736734418
670,-163.1360336403366
671,-166.70958499196837
672,-165.70351178727623
673,-167.8372984501152
674,-162.33095238018333
675,-163.58542803876804
676,-166.67431706212574
677,-167.97525353182618
678,-167.54193718011015
679,-6.991513531203349
680,6.093075525829281
681,-34.267904863802826
682,-167.49645580802698
683,-164.77187454524022
684,-165.44140453780005
685,3.545498904743802
686,1.6621468543913345
687,3.5903487132117853
688,-1.3934218765741804
689,4.339585151256685
690,3.3554504332881656
691,9.824121996334885
692,4.834605802469859
693,3.3876036671727334
694,-16.49699923803606
695,3.481962781077282
696,7.01264546292218
697,-0.6152134748932454
698,4.119533876972479
699,-7.916148409438463
700,3.2572473890625275
701,3.601559151500549
702,6.582428407079284
703,7.201296543716616
704,-7.365836026610538
705,3.3675562941932995
706,3.6178651832476874
707,3.102084282510752
708,3.3065052886720068
709,3.4429131896251057
710,2.9964702709129014
711,3.5354366551365786
712,-161.15752357425424
713,3.39747531907166
714,3.3322779170561034
715,3.6417106992071737
716,3.1810808742260157
717,3.2426663666488302
718,8.09400767880338
719,-1.7374091711423958
720,3.7290391870901196
721,-12.02677221707835
722,3.4897163934161526
723,4.801379032736797
724,3.254722888707093
725,-131.55540861227445
726,-157.0607527202505
727,-166.51091330386006
728,1.5978108022955482
729,-19.998293359180494
730,-22.547083348350792
731,-25.368035465473902
732,8.275451370529652
733,-101.80021155872636
734,1.0240924060703627
735,-47.29259169544289
736,-1.5430093812795747
737,0.5725490536940221
738,-3.4708768325154438
739,10.653878004647037
740,-18.521469230970737
741,-2.908921337260523
742,-0.6169171357488352
743,-1.231123521108195
744,-1.720710553001343
745,-1.8277125180170817
746,-13.654963787500796
747,-1.54127089611859
748,-8.300413669806147
749,-8.733865622282817
750,-1.4575841229851534
751,8.338570708217247
752,-3.7962543396124673
753,-10.263351060416824
754,0.060012480576723704
755,2.2586776269517514
756,8.338579830816549
757,-5.541779849845735
758,2.9125555342452785
759,2.629661034639728
760,-4.79865715449575
761,0.40671807487125733
762,5.338572626534585
763,-2.3111911027434573
764,8.338579475997289
765,3.153493540377397
766,8.338601900175412
767,3.0265562332976046
768,8.33857998345633
769,-5.0547727487049805
770,0.5453919911334459
771,-2.3816025457692973
772,8.338562479446118
773,8.338577205522313
774,5.1080388601142985
775,8.33858369072858
776,8.338574262289804
777,8.33887421529791
778,3.5153176413742706
779,-3.6180294366399757
780,8.338559989638355
781,8.338579313547722
782,8.338576823736734
783,-0.01570510521386481
784,8.338578135205147
785,0.9630347249047428
786,-5.919137687833725
787,-4.90740822991884
788,-8.319486819644753
789,-0.41419097207636923
790,-3.7820412980311513
791,8.338577830728664
792,8.338579743516874
793,-2.369632613159137
794,8.338579251595622
795,8.338579874827076
796,8.338572766438485
797,8.338543482807886
798,8.338576706055779
799,4.342721353106587
800,8.338582443353335
801,8.338579588466665
802,8.338572666069744
803,8.338588309533115
804,8.33858348203881
805,5.3720754405568485
806,8.338579799679842
807,5.343326404778907
808,8.338575810392346
809,8.338293469551346
810,8.338576690276518
811,8.325134875344993
812,-0.7545964254327799
813,8.338593382143614
814,8.338573522551705
815,8.338585964577963
816,8.338580205022321
817,5.339316069487239
818,8.338586857403978
819,3.6713385020651437
820,8.338583330419254
821,8.338583646254168
822,8.338562343009059
823,8.338574091450894
824,8.338595311723704
825,8.338587141758822
826,8.306045854793716
827,8.338581101854402
828,8.334372536800092
829,8.33604913118032
830,8.333969719356901
831,8.338567391940707
832,8.338575431234894
833,8.338576256422908
834,8.338574994197803
835,8.338567586542695
836,8.338575471993767
837,8.338577114844668
838,8.33857293537475
839,8.338569758906644
840,4.6717034449862815
841,1.3385462151801093
842,5.285702586960163
843,8.338573653595283
844,8.338570131773988
845,8.338577196203719
846,3.6538321637107174
847,1.75589333792011
848,8.33857551061693
849,8.33857705579302
850,1.8103485058496602
851,-0.46156399846736207
852,-7.903554974861997
853,-3.1565582687623532
854,8.338569022917866
855,8.338575399840323
856,8.338576941236195
857,8.33858354805652
858,5.110431416871066
859,8.338580542297354
860,8.338547109389474
861,8.338574756196113
862,8.338571713322462
863,8.338576732449248
864,5.40711708378344
865,8.338574141484727
866,8.337949514306118
867,8.338584542061309
868,-0.3614032729853811
869,8.338572322340713
870,8.338575373457001
871,8.338578169160883
872,8.338582836554785
873,5.338726333817405
874,8.338581408138825
875,8.33858922246175
876,-6.395854510160454
877,-0.9389855618779954
878,2.110263002923052
879,-6.046095474098323
880,-11.402246313476356
881,8.338576259047326
882,8.337416004452226
883,8.338573719658562
884,8.338575572029079
885,8.338581476974678
886,8.338570928804046
887,8.336492548037302
888,8.338573212208857
889,8.338580039356337
890,8.338576930820032
891,8.33857433088787
892,8.338577020000283
893,8.33858651414831
894,8.33833902668325
895,8.338553327932026
896,8.338578671500379
897,8.338566869982778
898,-8.359726670123255
899,-1.3813133796049897
900,-3.7101911674542336
901,-1.4491028302321567
902,8.33850532699438
903,8.338574833786495
904,8.338581088158247
905,8.338580636792589
906,8.338576103775225
907,8.338577262657463
908,8.338543144499571
909,8.33857722854814
910,8.338583758197885
911,8.338581915207616
912,8.338575887025762
913,8.33858275994924
914,8.338578004721448
915,8.33857826022755
916,8.338573476044086
917,8.338575997093002
918,8.338589788022663
919,8.338573500054743
920,8.338576766862897
921,8.336491586904003
922,8.338578312465678
923,8.338581449427622
924,8.338059298554022
925,-0.37574977590050196
926,2.5990193076729824
927,5.980167787521815
928,1.087416007779236
929,-2.4434925355580965
930,-2.4413510374261094
931,-9.667883489579776
932,-0.37626441527046595
933,-0.8067975189539602
934,-10.962378104304172
935,-16.95169394358304
936,0.026308839389464822
937,-2.8017772692957514
938,-1.879997463931467
939,-3.7048105171980517
940,-7.968692572005935
941,-1.487907694849465
942,1.970577772703713
943,-2.8089923185964754
944,-10.201860817270664
945,-4.797558503866899
946,0.536526484589789
947,-7.273267625485413
948,-0.0648426351724396
949,-3.64525263705972
950,-3.9193761181210114
951,5.299907275529112
952,-13.902610781467818
953,3.623632948944863
954,16.064567671400766
955,-5.016387989026924
956,1.4543188009047796
957,-13.81584696488121
958,-2.131398640625335
959,-1.1569506039144102
960,-8.502189030213751
961,1.5950091844078464
962,-0.7433274871393216
963,-1.6367291793904393
964,5.753677549659585
965,-6.133691457743495
966,-0.5621114303876809
967,4.334884621484086
968,-2.263100142703319
969,-2.8753798376117032
970,-8.846365572226194
971,5.8132553780596155
972,3.5527957463920714
973,-12.077168135452244
974,-3.568148920074261
975,0.2623723888594398
976,-15.002350098816173
977,-1.4236318030570203
978,-5.357181488436121
979,-5.43852037464432
980,-15.914052125163602
981,-5.559892332599759
982,1.0465954003157698
983,-11.054996656512566
984,-5.616214943354837
985,-13.942824930884296
986,-10.242766603118
987,-15.513351362236346
988,-8.174030943563164
989,-8.465707117557713
990,-5.023254344288322
991,-10.09185952884637
992,-6.392523261841923
993,0.17933839381548466
994,-4.239244164745177
995,-3.8887766762779954
996,-4.973611383846162
997,-4.685817756391987
998,-3.7534366392553267
999,-13.33543741452633
1000,-0.6715707589789446
